Posture,RI,LU,UI,FDP,FDS,EDC,Fmc_PD,Fmc_DV,Fmc_RU
MinorFlex,0,0,0,300,300,0,3.45372253261754,-0.5130897318034,0.47082227594856
MinorFlex,0,0,0,950,950,0,10.9858224743297,-1.89092081663872,1.61866127134323
MajorFlex,0,0,0,300,300,0,3.78693749250161,-0.60033113464954,0.52986552828255
MajorFlex,0,0,0,950,950,0,11.2100700452984,-2.03273982574029,1.75745210164799
HyperExt,0,0,0,300,300,0,3.38831979562861,0.21288507409475,0.21823694169261
HyperExt,0,0,0,950,950,0,10.8795341498477,0.76233876788149,0.74572820947638
Hook,0,0,0,300,300,0,3.55387591294543,0.02025593074105,0.49450831779445
Hook,0,0,0,950,950,0,10.9602732265304,-0.32066723068314,1.19119345847513
