Posture,RI,LU,UI,FDP,FDS,EDC,Fmc_PD,Fmc_DV,Fmc_RU
MinorFlex,0,0,0,300,300,0,4.52241900696004,-0.291132250427,0.31175584493774
MinorFlex,0,0,0,950,950,0,12.2065820620824,-1.26482948776589,0.61042500031811
MajorFlex,0,0,0,300,300,0,4.14493134658317,-0.5092957269728,-0.0961920049495
MajorFlex,0,0,0,950,950,0,12.7538042708513,-1.81503846024389,-0.39940241215431
HyperExt,0,0,0,300,300,0,4.7375568898094,0.53598650759138,0.08437407652922
HyperExt,0,0,0,950,950,0,12.3665215523181,1.46171391456776,0.30353279689545
Hook,0,0,0,300,300,0,4.20997466213889,0.00427411078841,0.21261296320482
Hook,0,0,0,950,950,0,11.3189461984231,-0.28131431618378,0.35124182208778
