Posture,RI,LU,UI,FDP,FDS,EDC,Fmc_PD,Fmc_DV,Fmc_RU
MinorFlex,0,0,0,300,300,0,4.32748580271523,-0.10136783531513,-0.45498722406941
MinorFlex,0,0,0,650,800,0,9.6154160513402,-0.01351718856472,-0.79386736165979
MajorFlex,0,0,0,300,300,0,3.94159058710325,-0.04457269647686,-0.44935412917791
MajorFlex,0,0,0,650,800,0,9.80897053309536,-0.15751149840504,-0.76644554109657
HyperExt,0,0,0,300,300,0,3.93601520893831,0.485110544451,-0.13396942763468
HyperExt,0,0,0,650,800,0,9.42668890760531,1.10763574959399,-0.35219382181155
Hook,0,0,0,300,300,0,3.82628373769835,0.1339553384088,-0.19412856961096
Hook,0,0,0,650,800,0,9.11432466547609,0.19656457322817,-0.40820090374173
