Posture,RI,LU,UI,FDP,FDS,EDC,Fmc_PD,Fmc_DV,Fmc_RU
MinorFlex,0,0,0,300,300,0,3.53818731432805,-0.54810290498466,0.54758012594166
MinorFlex,0,0,0,950,950,0,11.5255175832796,-1.88899756938434,1.67869702646074
MajorFlex,0,0,0,300,300,0,3.63499153426722,-0.63783299970163,0.57264765220321
MajorFlex,0,0,0,950,950,0,11.8357292178329,-1.90619293820706,1.97571562647983
HyperExt,0,0,0,300,300,0,3.34996850346777,0.13024203963372,0.28295321983048
HyperExt,0,0,0,950,950,0,10.9441963020379,0.23210376917157,0.72518122590652
Hook,0,0,0,300,300,0,3.34599175480499,-0.27805062044902,0.42619214014571
Hook,0,0,0,950,950,0,10.8237954465875,-1.16124744823261,0.9518021826677
