# D_X,D_Y,D_Z,P_X,P_Y,P_Z
-2.323057138890733120e-01,-3.143483442078022772e-01,2.299999999999999961e-02,3.853830966231882038e-01,-5.175371180966000795e-01,1.200000000000000025e-02
-3.243825745818168516e-01,-2.937774059629293388e-01,3.899999999999999994e-02,4.871382061693826371e-01,-5.610291445439486990e-01,1.899999999999999953e-02
-3.124606287290952467e-01,7.006249087506268014e-02,3.310000000000000164e-01,2.693077599581131798e-01,-1.841784941659615482e-01,4.709999999999999742e-01
-3.700483199890556296e-01,-1.159563832897436697e-01,3.280000000000000138e-01,4.106769399333964343e-01,-5.980275778834226452e-01,4.219999999999999862e-01
-3.680898381611388825e-01,4.413882333733400165e-02,-3.569999999999999840e-01,3.879585042377676762e-01,-2.397080921300039913e-01,-3.579999999999999849e-01
-6.865203817993897895e-02,2.655507441299150284e-01,-1.799999999999999864e-02,5.532984203229846659e-02,4.089468740494672794e-01,-3.899999999999999994e-02
