# D_X,D_Y,D_Z,P_X,P_Y,P_Z
-2.859314062826329716e-01,-2.874905129602588483e-01,-4.000000000000000083e-03,4.157306206505065327e-01,-2.905283459219613618e-01,-4.000000000000000083e-03
-1.804853782432745135e-01,1.698393986464821204e-01,2.270000000000000073e-01,1.016609259833811535e-01,9.218245422279347512e-02,2.419999999999999929e-01
-1.801725130655550955e-01,1.613431975717473654e-01,-2.469999999999999973e-01,1.020341558811251326e-01,7.864444374557905126e-02,-2.790000000000000258e-01
-2.639608446158706045e-01,-1.627439981485747922e-01,1.000000000000000021e-03,3.315580042119813386e-01,-1.328402397799580970e-01,-1.600000000000000033e-02
-2.997816787633058797e-02,2.473184574431515348e-01,-2.400000000000000050e-02,-3.603774833474056066e-04,2.306144003143897336e-01,-1.899999999999999953e-02
