D_X,D_Y,D_Z,P_X,P_Y,P_Z
-0.28,-0.273,-0.004,0.4,-0.266,-0.004
-0.18,0.172,0.227,0.1,0.1,0.242
-0.18,0.161,-0.247,0.1,0.076,-0.279
-0.28,-0.207,0.001,0.4,-0.217,-0.016
-0.03,0.247,-0.024,0,0.236,-0.019
