Posture,Muscle,Load,Ftip_PD,Ftip_DV,Ftip_RU
MinorFlex,FDS,950,-1.27200796702257,-1.71522597401688,0.1847157692314
MinorFlex,FDP,950,-0.52254216870394,-2.07256194387713,0.26929223790003
MinorFlex,EDC,400,0.41359529470589,-0.50488514283498,-0.04679467243845
MinorFlex,LU,45,-0.02440454523294,-0.07150997239979,0.03605508631121
MinorFlex,RI,650,-0.41373365198592,0.10489036644522,0.72412743540384
MinorFlex,UI,500,-0.47135996502855,-0.12430090082243,-0.33303444543874
MajorFlex,FDS,950,-1.39429848414979,-1.19614317430854,0.39933252006674
MajorFlex,FDP,950,-0.4283280977821,-1.86326806704943,0.38028649930671
MajorFlex,EDC,400,0.33212709029786,-0.20847316110305,-0.02696180748043
MajorFlex,LU,45,-0.19010063244515,0.08783437174173,-0.01051267013453
MajorFlex,RI,650,-0.71349334101427,0.33166142741551,0.44305954371471
MajorFlex,UI,500,-0.5186276549591,0.06249788838096,-0.23279611670411
HyperExt,FDS,950,-0.73026254891811,-2.45984478918481,-0.07378984892487
HyperExt,FDP,950,-0.16922004778375,-2.13401791122451,-0.07850844418178
HyperExt,EDC,400,0.41339458907622,-0.2998583309291,-0.06235747931917
HyperExt,LU,45,0.04069979539602,0.25285747987198,0.06336353813388
HyperExt,RI,650,-0.12458586193116,1.0040208810887,0.54451768093098
HyperExt,UI,500,-0.16414922788558,0.6285987227794,-0.43969398280835
Hook,FDS,950,-1.44745643944529,-1.83083851564593,-0.01196675680018
Hook,FDP,950,-0.85843278344549,-2.00980043023531,0.04851611735498
Hook,EDC,400,0.3036287186905,-0.28425144576782,-0.00587576557187
Hook,LU,45,0.06426937886272,-0.07424666864604,0.02030613774075
Hook,RI,650,0.01758129669859,0.07563508265336,0.57747730870844
Hook,UI,500,-0.13599247992441,0.20191009008482,-0.39409452642583
