Posture,RI,LU,UI,FDP,FDS,EDC,Ftip_PD,Ftip_DV,Ftip_RU
MinorFlex,0,0,0,300,300,0,-0.53317560156193,-1.06477227737578,-0.47431315243128
MinorFlex,0,0,0,950,950,0,-1.65273655349046,-3.15520413653103,-1.57807191252037
MajorFlex,0,0,0,300,300,0,-0.3205075866787,-0.74436154806211,-0.43965443683128
MajorFlex,0,0,0,950,950,0,-1.25993448529737,-2.9473502811878,-1.76722766027478
HyperExt,0,0,0,300,300,0,-0.60063843926665,-1.69165389091378,-0.21432590395395
HyperExt,0,0,0,950,950,0,-1.73433012064086,-5.35099491304856,-0.7428932698374
Hook,0,0,0,300,300,0,-0.68685932210056,-1.21113383240213,-0.33360287401474
Hook,0,0,0,950,950,0,-2.18358436665703,-3.93278293254888,-1.00078088280985
