Posture,RI,LU,UI,FDP,FDS,EDC,Ftip_PD,Ftip_DV,Ftip_RU
MinorFlex,0,0,0,300,300,0,-0.58209341873973,-1.30794384061621,0.21115258941785
MinorFlex,0,0,0,950,950,0,-1.85086683047618,-3.60398876427553,0.52287610356701
MajorFlex,0,0,0,300,300,0,-0.49831543643154,-0.81914243577076,0.37184220093649
MajorFlex,0,0,0,950,950,0,-2.03003753448832,-2.66736515027151,0.99081756406433
HyperExt,0,0,0,300,300,0,-0.44596863886807,-1.43032284516592,-0.05866608685451
HyperExt,0,0,0,950,950,0,-0.9516216915355,-4.61641374925148,-0.08176681140609
Hook,0,0,0,300,300,0,-0.84518621777189,-1.04598044973636,0.05868689632947
Hook,0,0,0,950,950,0,-2.43824758828822,-3.90491758007418,0.1966125267449
