Posture,RI,LU,UI,FDP,FDS,EDC,Ftip_PD,Ftip_DV,Ftip_RU
MinorFlex,0,0,0,300,300,0,-0.42109492923341,-0.69605087348204,0.49652483713024
MinorFlex,0,0,0,650,800,0,-1.19870381469638,-1.66038102696671,0.8766820716209
MajorFlex,0,0,0,300,300,0,-0.70533107280957,-0.25566798464753,0.6602189633861
MajorFlex,0,0,0,650,800,0,-1.87250939444177,-0.85135171642077,1.07295801398369
HyperExt,0,0,0,300,300,0,-0.21414628773984,-0.8984142841717,0.02319494461623
HyperExt,0,0,0,650,800,0,-0.42895345317043,-2.46283967360537,0.10350745249315
Hook,0,0,0,300,300,0,-0.61238908455749,-0.96789575821732,0.22793706626129
Hook,0,0,0,650,800,0,-1.5614661419867,-2.44769017567322,0.39111239187743
