Posture,Muscle,Load,Ftip_PD,Ftip_DV,Ftip_RU
MinorFlex,FDS,800,-0.84886364759825,-0.79541050999116,0.59591439510116
MinorFlex,FDP,650,-0.32805957146765,-0.87806012831083,0.44261034759141
MinorFlex,EDC,250,0.25103662908695,-0.24277352454554,0.08872610973292
MinorFlex,LU,40,-0.02138828656439,-0.06484803622419,0.03381521671222
MinorFlex,RI,550,-0.23203579033894,-0.23744622441652,0.66885404523645
MinorFlex,UI,400,-0.21778767703801,0.10826154348508,0.28696824226938
MajorFlex,FDS,800,-1.23703631618335,0.06818341247012,0.69625993715865
MajorFlex,FDP,650,-0.6917051445656,-0.4070334488016,0.55925448179801
MajorFlex,EDC,250,0.12962797593612,0.23438121631463,0.0917289993711
MajorFlex,LU,40,-0.13787429317706,0.42063918633206,0.0156575522913
MajorFlex,RI,550,-0.45912134559321,0.71166367159473,0.49897667690221
MajorFlex,UI,400,-0.45457192981238,1.17767264693543,0.46021948270092
HyperExt,FDS,800,-0.44737645062918,-1.1042501538675,0.02773218189062
HyperExt,FDP,650,-0.00714962993642,-1.09909169999523,-0.04021679568857
HyperExt,EDC,250,0.3529693074966,-0.29660499956739,-0.06973437100636
HyperExt,LU,40,0.02069446309783,0.1015237337866,0.02350508688717
HyperExt,RI,550,0.07813923959462,0.06528286391928,0.41526929626798
HyperExt,UI,400,0.17018899303263,-0.16036584245808,-0.31600800632619
Hook,FDS,800,-0.97359085918022,-1.08549543770779,0.24548557197467
Hook,FDP,650,-0.56303874197826,-1.29777540265225,0.11791457294136
Hook,EDC,250,0.1032986660928,-0.29038688907767,-0.0021682513316
Hook,LU,40,-0.00790295925364,-0.02826081774344,0.04318758196006
Hook,RI,550,-0.1297749254766,-0.20493344945396,0.53087808782639
Hook,UI,400,-0.11145629987368,-0.01937979867084,-0.06289126245257
