Posture,Muscle,Load,Ftip_PD,Ftip_DV,Ftip_RU
MinorFlex,FDS,950,-1.23270058756742,-1.24682748251375,-0.66121093112811
MinorFlex,FDP,950,-0.26926048677886,-1.90000929909821,-0.82504311225391
MinorFlex,EDC,400,0.4765840361308,-0.28786191537275,0.01349855967526
MinorFlex,LU,45,-0.0552254072881,0.01597549312181,0.04862358533812
MinorFlex,RI,650,-0.95927045007293,0.39880616642029,0.05391961556251
MinorFlex,UI,500,-1.29213724590095,0.69208908796143,-0.49598696778122
MajorFlex,FDS,950,-0.9674775199205,-1.47245563496318,-0.77821553650051
MajorFlex,FDP,950,-0.25402689181661,-1.44152006242021,-1.10208250686649
MajorFlex,EDC,400,0.37106042047178,0.19676692236615,0.03197028592158
MajorFlex,LU,45,-0.20842214066825,0.1527711666303,0.09348301624699
MajorFlex,RI,650,-1.40578032714174,0.94454539558815,-0.10116844539407
MajorFlex,UI,500,-1.6382692422595,0.72330078341603,-0.33104381829088
HyperExt,FDS,950,-0.74916822275386,-1.76104487097255,-0.26321204967828
HyperExt,FDP,950,-0.08601335348157,-2.46248683873503,-0.32855744162556
HyperExt,EDC,400,0.46069880639943,-0.63513326453304,-0.025916512663
HyperExt,LU,45,0.04798034740188,-0.03565544391469,0.06206182397265
HyperExt,RI,650,-0.14503982395877,-0.46439271481243,0.55639670198315
HyperExt,UI,500,-0.24193990955944,0.48707847015717,-0.56441274467426
Hook,FDS,950,-1.19594083219169,-1.84489179965765,-0.32496245036809
Hook,FDP,950,-0.52521668555465,-2.16433061319681,-0.31042122034309
Hook,EDC,400,0.43881844190729,-0.02608154107197,-0.20032134443774
Hook,LU,45,0.02874109530299,-0.02557952910659,-0.11344645240923
Hook,RI,650,-0.38328778349993,0.96642394726809,-0.35145783101955
Hook,UI,500,-0.22463567299509,0.25856856922917,0.10731848588411
