Posture,RI,LU,UI,FDP,FDS,EDC,Ftip_PD,Ftip_DV,Ftip_RU
MinorFlex,0,0,0,300,300,0,-0.35044421723366,-1.0444915701406,-0.47121879797214
MinorFlex,0,0,0,950,950,0,-1.4919775017186,-3.06691495108769,-1.45660258230703
MajorFlex,0,0,0,300,300,0,-0.34707301086039,-0.886136412557,-0.59692986531859
MajorFlex,0,0,0,950,950,0,-1.28687597438798,-2.97789840632274,-1.91031920545941
HyperExt,0,0,0,300,300,0,-0.33399034269827,-1.3434184733875,-0.27112527870462
HyperExt,0,0,0,950,950,0,-0.85610597149249,-4.53205676659268,-0.67697205491371
Hook,0,0,0,300,300,0,-0.5938901388444,-1.03130764104537,-0.19549194628081
Hook,0,0,0,950,950,0,-1.84921733811602,-3.96250454451759,-0.65794230140028
